subject,light_dist_cm,illuminance_rel,threshold,clahe,ref_path,test_path,cosine_dist,norm_dist,margin,confidence_pct,processing_s,verified,false_reject,detect_failed,skip_reason
s01,135,0.4444,0.4,True,./data\s01\reference.jpeg,./data\s01\135cm.jpeg,0.581475,1.4537,-0.181475,60.01,7.7,True,False,False,
s01,120,0.5625,0.4,True,./data\s01\reference.jpeg,./data\s01\120cm.jpeg,0.544058,1.3601,-0.144058,64.14,5.768,True,False,False,
s01,105,0.7347,0.4,True,./data\s01\reference.jpeg,./data\s01\105cm.jpeg,0.528297,1.3207,-0.128297,65.96,4.028,True,False,False,
s01,90,1.0,0.4,True,./data\s01\reference.jpeg,./data\s01\90cm.jpeg,0.599886,1.4997,-0.199886,58.09,4.118,True,False,False,
s01,75,1.44,0.4,True,./data\s01\reference.jpeg,./data\s01\75cm.jpeg,0.518967,1.2974,-0.118967,67.05,3.879,True,False,False,
s01,60,2.25,0.4,True,./data\s01\reference.jpeg,./data\s01\60cm.jpeg,0.585121,1.4628,-0.185121,59.62,4.994,True,False,False,
s01,45,4.0,0.4,True,./data\s01\reference.jpeg,./data\s01\45cm.jpeg,0.57743,1.4436,-0.17743,60.44,3.65,True,False,False,
s01,30,9.0,0.4,True,./data\s01\reference.jpeg,./data\s01\30cm.jpeg,0.572351,1.4309,-0.172351,60.99,4.069,True,False,False,
s01,15,36.0,0.4,True,./data\s01\reference.jpeg,./data\s01\15cm.jpeg,0.528601,1.3215,-0.128601,65.92,3.633,True,False,False,
s02,135,0.4444,0.4,True,./data\s02\reference.jpeg,./data\s02\135cm.jpeg,0.294177,0.7354,0.105823,91.7,5.174,True,False,False,
s02,120,0.5625,0.4,True,./data\s02\reference.jpeg,./data\s02\120cm.jpeg,0.320015,0.8,0.079985,89.4,3.802,True,False,False,
s02,105,0.7347,0.4,True,./data\s02\reference.jpeg,./data\s02\105cm.jpeg,0.397526,0.9938,0.002474,81.38,3.644,True,False,False,
s02,90,1.0,0.4,True,./data\s02\reference.jpeg,./data\s02\90cm.jpeg,0.441093,1.1027,-0.041093,76.34,5.987,True,False,False,
s02,75,1.44,0.4,True,./data\s02\reference.jpeg,./data\s02\75cm.jpeg,0.39627,0.9907,0.00373,81.53,4.983,True,False,False,
s02,60,2.25,0.4,True,./data\s02\reference.jpeg,./data\s02\60cm.jpeg,0.348462,0.8712,0.051538,86.63,4.453,True,False,False,
s02,45,4.0,0.4,True,./data\s02\reference.jpeg,./data\s02\45cm.jpeg,0.402826,1.0071,-0.002826,80.79,5.713,True,False,False,
s02,30,9.0,0.4,True,./data\s02\reference.jpeg,./data\s02\30cm.jpeg,0.478528,1.1963,-0.078528,71.87,3.733,True,False,False,
s02,15,36.0,0.4,True,./data\s02\reference.jpeg,./data\s02\15cm.jpeg,0.509974,1.2749,-0.109974,68.11,4.747,True,False,False,
s03,135,0.4444,0.4,True,./data\s03\reference.jpeg,,,,,,,False,True,False,testfoto_ontbreekt_jpg_jpeg
s03,120,0.5625,0.4,True,./data\s03\reference.jpeg,./data\s03\120cm.jpeg,0.626627,1.5666,-0.226627,55.46,5.375,True,False,False,
s03,105,0.7347,0.4,True,./data\s03\reference.jpeg,./data\s03\105cm.jpeg,0.526841,1.3171,-0.126841,66.13,9.946,True,False,False,
s03,90,1.0,0.4,True,./data\s03\reference.jpeg,./data\s03\90cm.jpeg,0.593565,1.4839,-0.193565,58.74,5.163,True,False,False,
s03,75,1.44,0.4,True,./data\s03\reference.jpeg,./data\s03\75cm.jpeg,0.546933,1.3673,-0.146933,63.81,3.824,True,False,False,
s03,60,2.25,0.4,True,./data\s03\reference.jpeg,./data\s03\60cm.jpeg,0.496537,1.2413,-0.096537,69.71,3.837,True,False,False,
s03,45,4.0,0.4,True,./data\s03\reference.jpeg,./data\s03\45cm.jpeg,0.644828,1.6121,-0.244828,53.79,4.024,True,False,False,
s03,30,9.0,0.4,True,./data\s03\reference.jpeg,./data\s03\30cm.jpeg,0.607182,1.518,-0.207182,57.35,4.945,True,False,False,
s03,15,36.0,0.4,True,./data\s03\reference.jpeg,./data\s03\15cm.jpeg,0.706157,1.7654,-0.306157,16.88,3.395,False,True,False,
s04,135,0.4444,0.4,True,./data\s04\reference.jpeg,./data\s04\135cm.jpeg,0.748263,1.8707,-0.348263,12.51,4.341,False,True,False,
s04,120,0.5625,0.4,True,./data\s04\reference.jpeg,./data\s04\120cm.jpeg,0.458243,1.1456,-0.058243,74.3,5.758,True,False,False,
s04,105,0.7347,0.4,True,./data\s04\reference.jpeg,./data\s04\105cm.jpeg,0.443318,1.1083,-0.043318,76.08,4.256,True,False,False,
s04,90,1.0,0.4,True,./data\s04\reference.jpeg,./data\s04\90cm.jpeg,0.386962,0.9674,0.013038,82.56,5.212,True,False,False,
s04,75,1.44,0.4,True,./data\s04\reference.jpeg,./data\s04\75cm.jpeg,0.432486,1.0812,-0.032486,77.36,6.107,True,False,False,
s04,60,2.25,0.4,True,./data\s04\reference.jpeg,./data\s04\60cm.jpeg,0.832497,2.0812,-0.432497,6.05,4.922,False,True,False,
s04,45,4.0,0.4,True,./data\s04\reference.jpeg,./data\s04\45cm.jpeg,0.500624,1.2516,-0.100624,69.22,4.23,True,False,False,
s04,30,9.0,0.4,True,./data\s04\reference.jpeg,./data\s04\30cm.jpeg,0.502406,1.256,-0.102406,69.01,4.979,True,False,False,
s04,15,36.0,0.4,True,./data\s04\reference.jpeg,./data\s04\15cm.jpeg,0.548992,1.3725,-0.148992,63.58,4.047,True,False,False,
s05,135,0.4444,0.4,True,./data\s05\reference.jpeg,./data\s05\135cm.jpeg,0.555758,1.3894,-0.155758,62.82,3.954,True,False,False,
s05,120,0.5625,0.4,True,./data\s05\reference.jpeg,./data\s05\120cm.jpeg,0.597767,1.4944,-0.197767,58.3,4.039,True,False,False,
s05,105,0.7347,0.4,True,./data\s05\reference.jpeg,./data\s05\105cm.jpeg,0.550316,1.3758,-0.150316,63.43,4.6,True,False,False,
s05,90,1.0,0.4,True,./data\s05\reference.jpeg,./data\s05\90cm.jpeg,0.514721,1.2868,-0.114721,67.55,3.674,True,False,False,
s05,75,1.44,0.4,True,./data\s05\reference.jpeg,./data\s05\75cm.jpeg,0.515595,1.289,-0.115595,67.45,3.751,True,False,False,
s05,60,2.25,0.4,True,./data\s05\reference.jpeg,./data\s05\60cm.jpeg,0.55416,1.3854,-0.15416,63.0,3.421,True,False,False,
s05,45,4.0,0.4,True,./data\s05\reference.jpeg,./data\s05\45cm.jpeg,0.565888,1.4147,-0.165888,61.69,5.455,True,False,False,
s05,30,9.0,0.4,True,./data\s05\reference.jpeg,./data\s05\30cm.jpeg,0.587696,1.4692,-0.187696,59.35,3.87,True,False,False,
s05,15,36.0,0.4,True,./data\s05\reference.jpeg,./data\s05\15cm.jpeg,0.539319,1.3483,-0.139319,64.68,4.278,True,False,False,
s06,135,0.4444,0.4,True,./data\s06\reference.jpeg,./data\s06\135cm.jpeg,0.676201,1.6905,-0.276201,51.14,4.034,True,False,False,
s06,120,0.5625,0.4,True,./data\s06\reference.jpeg,./data\s06\120cm.jpeg,0.664674,1.6617,-0.264674,52.08,3.407,True,False,False,
s06,105,0.7347,0.4,True,./data\s06\reference.jpeg,./data\s06\105cm.jpeg,0.632215,1.5805,-0.232215,54.94,3.174,True,False,False,
s06,90,1.0,0.4,True,./data\s06\reference.jpeg,./data\s06\90cm.jpeg,0.544866,1.3622,-0.144866,64.05,3.879,True,False,False,
s06,75,1.44,0.4,True,./data\s06\reference.jpeg,./data\s06\75cm.jpeg,0.588049,1.4701,-0.188049,59.31,5.021,True,False,False,
s06,60,2.25,0.4,True,./data\s06\reference.jpeg,./data\s06\60cm.jpeg,0.639806,1.5995,-0.239806,54.24,4.014,True,False,False,
s06,45,4.0,0.4,True,./data\s06\reference.jpeg,./data\s06\45cm.jpeg,0.643599,1.609,-0.243599,53.9,3.946,True,False,False,
s06,30,9.0,0.4,True,./data\s06\reference.jpeg,./data\s06\30cm.jpeg,0.642179,1.6054,-0.242179,54.03,3.825,True,False,False,
s06,15,36.0,0.4,True,./data\s06\reference.jpeg,./data\s06\15cm.jpeg,0.647898,1.6197,-0.247898,53.52,4.906,True,False,False,
